Unnamed: 0,season,first_name,last_name,position,origin,originNIL,destination,destinationNIL,transfer_date,rating,stars,eligibility,Total Support_x,Ticket Sales_x,Contributions_x,Conf_x,School_x,Total Support_y,Ticket Sales_y,Contributions_y,Conf_y,School_y,Total Support,Ticket Sales,Contributions,Conf,School
25,2021,Cody,Shear,IOL,Arizona State,"$5,689,877",Syracuse, none ,2021-06-30T23:14:00.000Z,,3,Immediate,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,,,,,
26,2021,Darel,Middleton,DL,Tennessee,"$11,602,164",West Virginia," $5,495,362.00 ",2021-06-30T14:30:00.000Z,0.81,3,Immediate,"70,593,563","35,110,289","35,483,274",SEC,Tennessee,"70,593,563","35,110,289","35,483,274",SEC,Tennessee,"33,436,624","18,763,866","14,672,758",Big 12,West Virginia
27,2021,Devin,Aupiu,LB,Notre Dame,,UCLA," $5,919,423.00 ",2021-06-29T17:16:00.000Z,0.83,3,Immediate,,,,,,,,,,,"36,016,831","17,494,361","18,522,470",Big Ten,UCLA
28,2021,Gerald,Nathan Jr.,LB,Missouri,"$7,146,859",Southeastern Louisiana, none ,2021-06-29T14:47:00.000Z,,3,Immediate,"43,485,183","13,929,479","29,555,704",SEC,Missouri,"43,485,183","13,929,479","29,555,704",SEC,Missouri,,,,,
29,2021,Anthony,Shipton,DL,Illinois,"$9,311,667",none, none ,2021-06-29T13:51:00.000Z,,3,Immediate,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,,,,,
30,2021,James,Frenchie,WR,Illinois,"$9,311,667",none, none ,2021-06-29T13:49:00.000Z,,3,Immediate,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,,,,,
31,2021,Ray,Thornton,OLB,LSU,"$20,137,141",Texas,"$22,272,474 ",2021-01-12T00:00:00.000Z,0.84,3,TBD,"122,524,769","46,594,942","75,929,827",SEC,LSU,"122,524,769","46,594,942","75,929,827",SEC,LSU,"135,517,239","57,543,166","77,974,073",SEC,Texas
32,2021,Blaise,Sparks,OT,Illinois,"$9,311,667",Delaware, none ,2021-06-29T13:49:00.000Z,,3,Immediate,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,,,,,
33,2021,Anthony,Fieldings,CB,Georgia Southern,"$844,462",none, none ,2021-06-29T10:54:00.000Z,,3,Immediate,"5,138,145","1,999,550","3,138,595",Sun Belt,Georgia Southern,"5,138,145","1,999,550","3,138,595",Sun Belt,Georgia Southern,,,,,
34,2021,Tre'von,Riggins,DL,Illinois,"$9,311,667",none, none ,2021-06-29T10:13:00.000Z,,3,Immediate,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,,,,,
35,2021,Kyron,Cumby,RB,Illinois,"$9,311,667",Texas Tech," $6,986,182.00 ",2021-06-29T09:03:00.000Z,,3,Immediate,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,"42,507,539","13,560,519","28,947,020",Big 12,Texas Tech
36,2021,Brevyn,Jones,OT,Illinois,"$9,311,667",Jacksonville State, none ,2021-06-28T20:54:00.000Z,,3,Immediate,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,"56,656,994","15,693,517","40,963,477",Big Ten,Illinois,,,,CUSA,Jacksonville State
37,2021,Seleti,Fevaleaki,DL,BYU,,none, none ,2021-06-28T16:53:00.000Z,,0,Immediate,,,,,,,,,,,,,,,
38,2021,David,Vincent-Okoli,CB,West Virginia,"$5,495,362",none, none ,2021-06-28T13:07:00.000Z,,4,Immediate,"33,436,624","18,763,866","14,672,758",Big 12,West Virginia,"33,436,624","18,763,866","14,672,758",Big 12,West Virginia,,,,,
39,2021,Kelvin,Stokes,EDGE,Purdue,"$5,510,579",none, none ,2021-06-28T12:43:00.000Z,,3,Immediate,"33,529,207","16,617,614","16,911,593",Big Ten,Purdue,"33,529,207","16,617,614","16,911,593",Big Ten,Purdue,,,,,
40,2021,Hunter,Smith,LB,Louisiana Monroe,,none, none ,2021-06-28T08:21:00.000Z,,2,Immediate,,,,,,,,,,,,,,,
41,2021,Chancellor,Hitchens,S,Louisiana Monroe,,none, none ,2021-06-28T08:20:00.000Z,,2,Immediate,,,,,,,,,,,,,,,
42,2021,Damir,Faison,EDGE,East Carolina,"$2,887,971",Kent State," $160,201.00 ",2021-06-28T08:20:00.000Z,,3,Immediate,"17,571,910","5,807,897","11,764,013",American,East Carolina,"17,571,910","5,807,897","11,764,013",American,East Carolina,"974,748","313,217","661,531",MAC,Kent State
