Player Id,Player College GSIS,Name,Unnamed: 7,Conf,Team,#,POS,S,DEF,DEF%,RUND,PRSH,COV,DEF GRD,RUND GRD,PRSH GRD,COV.1,KEY,PEN,BP,TKL,AST,MT,STOP
134146,362271,Neto Okpala,boston-college-eagles,ACC,BOSTON COL,D04,ED,2024,484,0.0007,200,263,21,70.1,75.6,62.1,57.5,114,0-0,0,22,13,6,19
190201,431402,Omar Thornton,boston-college-eagles,ACC,BOSTON COL,D30,S,2024,258,0.0004,104,5,149,58.9,52.8,74.0,59.5,30,0-0,0,24,4,8,8
143832,368454,Owen McGowan,boston-college-eagles,ACC,BOSTON COL,D33,LB,2024,258,0.0004,110,28,120,65.7,66.8,56.9,64.9,41,0-0,0,21,5,1,8
143839,391875,Owen Stoudmire,boston-college-eagles,ACC,BOSTON COL,D93,DI,2024,421,0.0006,173,242,6,59.5,67.6,52.2,57.0,80,1-0,0,17,11,3,13
175336,431392,Palaie Faoa,boston-college-eagles,ACC,BOSTON COL,D44,LB,2024,13,0.0,8,1,4,52.2,71.6,60.0,41.5,2,0-0,0,1,0,0,1
143827,393563,Quintayvious Hutchins,boston-college-eagles,ACC,BOSTON COL,D15,ED,2024,411,0.0006,163,235,13,70.6,59.0,72.1,84.9,109,1-0,0,22,12,7,14
131597,447450,Regen Terry,boston-college-eagles,ACC,BOSTON COL,D59,DI,2024,2,0.0,1,1,0,60.2,60.0,60.0,,0,0-0,0,0,0,0,0
156485,393508,Ryan Turner,boston-college-eagles,ACC,BOSTON COL,D18,CB,2024,168,0.0002,66,1,101,74.1,56.8,70.5,75.3,24,0-0,0,12,0,2,7
144822,359515,Sedarius McConnell,boston-college-eagles,ACC,BOSTON COL,D88,DI,2024,313,0.0005,114,195,4,56.1,63.9,49.6,61.4,54,1-0,0,13,4,2,10
162666,393561,Sione Hala,boston-college-eagles,ACC,BOSTON COL,D07,LB,2024,142,0.0002,67,12,63,66.7,84.5,65.0,49.6,35,0-0,0,6,2,2,4
190202,431403,Syair Torrence,boston-college-eagles,ACC,BOSTON COL,D26,CB,2024,7,0.0,4,1,2,48.6,60.2,60.0,52.0,1,0-0,0,0,0,0,0
143821,362217,Ty Clemons,boston-college-eagles,ACC,BOSTON COL,D90,DI,2024,71,0.0001,21,48,2,68.3,79.2,58.2,59.0,19,0-0,0,3,0,0,3
142508,362034,Victor Nelson,boston-college-eagles,ACC,BOSTON COL,D21,S,2024,7,0.0,5,0,2,62.8,60.0,,61.9,0,0-0,0,0,0,0,0
178094,424634,Zachary Kelly,boston-college-eagles,ACC,BOSTON COL,D48,CB,2024,1,0.0,0,0,1,62.4,,,60.0,0,0-0,0,0,0,0,0
183260,429980,Aaron Hampton,california-golden-bears,ACC,CAL,D46,LB,2024,3,0.0,3,0,0,27.5,37.5,,,2,0-0,0,0,0,0,0
122903,348477,Aidan Keanaaina,california-golden-bears,ACC,CAL,D47,DI,2024,425,0.0006,203,220,2,79.1,80.1,71.2,62.3,98,1-0,1,29,10,2,21
146309,387629,Akili Calhoun,california-golden-bears,ACC,CAL,D95,DI,2024,10,0.0,7,3,0,40.9,43.8,57.4,,4,0-0,0,0,0,0,0
126117,420376,Ben Marshall,california-golden-bears,ACC,CAL,89,TE,2024,1,0.0,0,1,0,60.0,,60.0,,0,0-0,0,0,0,0,0
86353,362119,Byron Cardwell,california-golden-bears,ACC,CAL,21,HB,2024,1,0.0,0,1,0,60.0,,60.0,,0,0-0,0,0,0,0,0
176566,407867,Cade Uluave,california-golden-bears,ACC,CAL,D00,LB,2024,529,0.0008,202,55,272,56.6,58.5,71.5,51.7,140,2-0,0,55,15,18,29
158329,407863,Cam Sidney,california-golden-bears,ACC,CAL,D20,S,2024,337,0.0005,128,20,189,63.6,78.6,55.4,58.6,53,1-0,0,28,8,4,12
54240,347859,Cheikhsaliou Fall,california-golden-bears,ACC,CAL,D17,ED,2024,280,0.0004,108,170,2,53.7,57.3,55.2,58.3,55,2-1,1,8,9,3,7
157703,398458,Cole Boscia,california-golden-bears,ACC,CAL,82,WR,2024,1,0.0,0,1,0,60.0,,60.0,,0,0-0,0,0,0,0,0
131648,351675,Collin Gamble,california-golden-bears,ACC,CAL,D13,CB,2024,4,0.0,1,0,3,51.6,60.0,,52.8,1,0-0,0,1,0,0,0
100612,328168,Craig Woodson,california-golden-bears,ACC,CAL,D02,S,2024,788,0.0012,308,7,473,89.2,85.6,63.7,88.9,76,1-0,0,74,13,8,24
158332,418237,Curlee Thomas IV,california-golden-bears,ACC,CAL,D51,DI,2024,2,0.0,0,2,0,57.0,,56.9,,0,0-0,0,0,0,0,0
90079,304658,David Reese,california-golden-bears,ACC,CAL,D07,ED,2024,426,0.0006,146,243,37,69.0,67.6,71.1,53.4,72,1-0,2,13,1,7,14
146310,383922,Derek Wilkins,california-golden-bears,ACC,CAL,D96,DI,2024,150,0.0002,64,86,0,70.5,72.5,59.0,62.4,35,0-0,0,6,2,0,6
146299,366903,Hunter Barth,california-golden-bears,ACC,CAL,D31,LB,2024,242,0.0004,109,20,113,77.2,68.1,69.1,79.0,53,0-0,0,26,3,5,19
183265,429997,Isaac Torres,california-golden-bears,ACC,CAL,26,WR,2024,1,0.0,0,1,0,60.0,,60.0,,0,0-0,0,0,0,0,0
