Player Id,Player College GSIS,Name,Unnamed: 7,Conf,Team,#,POS,S,ST,KRET,KCOV,PRET,PCOV,FGBLK,FGXP,ST GRD,KOFF GRD,PUNT GRD,FGXP.1,KEY,PEN,TKL,AST,MT
122895,348549,Jay Brunelle,boston-college-eagles,ACC,BOSTON COL,85,WR,2024,19,11,2,0,5,0,0,58.8,,,,1,0-0,0,0,0
157184,385461,Jayden McGowan,boston-college-eagles,ACC,BOSTON COL,02,WR,2024,60,48,0,12,0,0,0,60.1,55.7,66.3,,6,0-0,0,0,0
190191,447449,Jayzen Flint,boston-college-eagles,ACC,BOSTON COL,D94,ED,2024,17,4,0,12,0,1,0,60.5,,,,1,0-0,0,0,0
144761,373379,Jerand Bradley,boston-college-eagles,ACC,BOSTON COL,09,WR,2024,3,3,0,0,0,0,0,60.0,,,,0,0-0,0,0,0
156225,386294,Jeremiah Franklin,boston-college-eagles,ACC,BOSTON COL,17,TE,2024,77,9,0,2,9,0,53,64.0,,,,0,0-0,0,0,0
123546,362267,Joe Marinaro,boston-college-eagles,ACC,BOSTON COL,D45,LB,2024,202,48,58,32,45,13,0,62.6,,,,16,1-0,5,2,1
190197,439292,John Montague,boston-college-eagles,ACC,BOSTON COL,08,WR,2024,88,46,3,19,17,0,0,53.8,61.1,,,4,0-0,0,0,1
158449,385969,Jordan McDonald,boston-college-eagles,ACC,BOSTON COL,24,HB,2024,45,23,3,18,0,0,0,63.5,,,,2,0-0,0,0,0
174004,428679,Josiah Griffin,boston-college-eagles,ACC,BOSTON COL,D09,ED,2024,78,53,0,22,1,1,0,56.9,59.9,,,3,1-0,0,0,0
162679,431406,Juan Zabal,boston-college-eagles,ACC,BOSTON COL,D54,LB,2024,53,0,27,23,0,2,0,41.5,,,,5,0-0,0,0,2
174005,406238,KP Price,boston-college-eagles,ACC,BOSTON COL,D20,S,2024,119,3,44,6,10,52,0,69.2,,,,4,0-0,2,1,0
175331,425426,Kahlil Ali,boston-college-eagles,ACC,BOSTON COL,D39,S,2024,45,7,32,4,0,2,0,64.7,,,,2,0-0,1,0,0
123531,349062,Kam Arnold,boston-college-eagles,ACC,BOSTON COL,D05,LB,2024,54,0,0,1,26,25,0,59.7,,,,2,0-0,0,0,0
99713,337541,Kamari Morales,boston-college-eagles,ACC,BOSTON COL,88,TE,2024,67,9,0,0,1,0,52,63.8,60.0,,,0,0-0,0,0,0
190189,446905,Kemori Dixon,boston-college-eagles,ACC,BOSTON COL,D42,LB,2024,11,7,0,4,0,0,0,58.1,,,,2,0-0,0,0,0
123537,362222,Kevin Cline,boston-college-eagles,ACC,BOSTON COL,79,T,2024,59,0,0,0,0,0,54,65.9,,,,0,0-0,0,0,0
123958,349058,Khari Johnson,boston-college-eagles,ACC,BOSTON COL,D03,CB,2024,9,0,6,0,0,0,0,62.1,,,,0,0-0,0,0,0
162676,386352,Kwan Williams,boston-college-eagles,ACC,BOSTON COL,D55,DI,2024,44,0,0,0,0,44,0,58.5,,,,0,0-0,0,0,0
145532,362216,Kye Robichaux,boston-college-eagles,ACC,BOSTON COL,05,HB,2024,35,14,0,0,18,0,0,59.1,,,,1,0-0,0,0,0
143817,362209,Lewis Bond,boston-college-eagles,ACC,BOSTON COL,11,WR,2024,35,10,0,8,16,0,0,60.5,,,,0,0-0,0,0,0
162659,395334,Liam Connor,boston-college-eagles,ACC,BOSTON COL,S95,K,2024,103,0,48,0,14,0,37,63.5,68.0,46.3,68.2,35,0-0,0,0,0
151098,377377,Logan Taylor,boston-college-eagles,ACC,BOSTON COL,65,G,2024,1,0,0,0,0,0,0,,,,,0,0-0,0,0,0
182281,406266,Luca Lombardo,boston-college-eagles,ACC,BOSTON COL,S99,K,2024,37,0,19,0,0,0,17,44.1,76.2,,72.0,22,1-0,0,0,0
143833,394980,Luke McLaughlin,boston-college-eagles,ACC,BOSTON COL,83,WR,2024,79,0,24,19,18,0,16,63.2,,,,5,1-0,1,0,1
147428,396238,Martin Laham,boston-college-eagles,ACC,BOSTON COL,80,WR,2024,2,0,0,2,0,0,0,60.0,,,,0,0-0,0,0,0
162672,425432,Matt Ragan,boston-college-eagles,ACC,BOSTON COL,87,TE,2024,2,0,0,0,0,0,2,60.0,,,,0,0-0,0,0,0
175345,418202,Max Tucker,boston-college-eagles,ACC,BOSTON COL,D13,CB,2024,49,0,3,6,0,37,0,90.9,,,,1,0-0,0,0,0
175333,431389,Michael Crounse,boston-college-eagles,ACC,BOSTON COL,77,G,2024,11,0,0,0,0,0,10,62.4,,,,0,0-0,0,0,0
134146,362271,Neto Okpala,boston-college-eagles,ACC,BOSTON COL,D04,ED,2024,80,7,15,18,0,37,0,61.2,,,,6,0-0,1,0,1
190201,431402,Omar Thornton,boston-college-eagles,ACC,BOSTON COL,D30,S,2024,137,36,56,30,1,12,0,72.9,,,,17,0-0,3,1,1
143826,386304,Otto Hess,boston-college-eagles,ACC,BOSTON COL,62,C,2024,58,0,0,0,0,0,54,66.0,,,,0,0-0,0,0,0
143832,368454,Owen McGowan,boston-college-eagles,ACC,BOSTON COL,D33,LB,2024,143,33,28,22,41,15,0,62.3,,,,7,2-0,0,0,0
143839,391875,Owen Stoudmire,boston-college-eagles,ACC,BOSTON COL,D93,DI,2024,58,0,0,4,0,54,0,59.0,,,,0,0-0,0,0,0
123552,360975,Ozzy Trapilo,boston-college-eagles,ACC,BOSTON COL,70,T,2024,47,0,0,0,0,0,44,65.1,,,,0,0-0,0,0,0
175336,431392,Palaie Faoa,boston-college-eagles,ACC,BOSTON COL,D44,LB,2024,48,22,20,0,4,2,0,45.6,,,,5,2-0,1,0,1
143827,393563,Quintayvious Hutchins,boston-college-eagles,ACC,BOSTON COL,D15,ED,2024,145,23,36,25,38,20,0,63.7,,,,10,0-0,2,1,2
175339,424641,Reed Harris,boston-college-eagles,ACC,BOSTON COL,04,TE,2024,55,4,0,4,43,0,0,66.5,,,,3,0-0,1,0,1
131597,447450,Regen Terry,boston-college-eagles,ACC,BOSTON COL,D59,DI,2024,1,0,0,0,0,1,0,60.0,,,,0,0-0,0,0,0
175342,428696,Ryan Mickow,boston-college-eagles,ACC,BOSTON COL,58,T,2024,59,0,0,0,0,0,54,64.5,,,,0,0-0,0,0,0
156485,393508,Ryan Turner,boston-college-eagles,ACC,BOSTON COL,D18,CB,2024,56,0,43,1,0,11,0,62.0,,,,2,0-0,0,1,0
156220,386290,Sam Candotti,boston-college-eagles,ACC,BOSTON COL,S43,P,2024,29,0,0,0,10,0,18,61.7,,60.6,,10,0-0,0,0,0
175344,433931,Sam Stone,boston-college-eagles,ACC,BOSTON COL,S87,K,2024,22,0,0,0,1,0,20,61.4,,60.0,,2,0-0,0,0,0
144822,359515,Sedarius McConnell,boston-college-eagles,ACC,BOSTON COL,D88,DI,2024,3,0,0,3,0,0,0,60.6,,,,0,0-0,0,0,0
162666,393561,Sione Hala,boston-college-eagles,ACC,BOSTON COL,D07,LB,2024,62,19,38,1,0,4,0,65.9,,,,4,0-0,1,1,0
190202,431403,Syair Torrence,boston-college-eagles,ACC,BOSTON COL,D26,CB,2024,94,35,33,24,1,0,0,47.2,,,,10,0-0,1,0,0
99619,340279,Treshaun Ward,boston-college-eagles,ACC,BOSTON COL,00,HB,2024,3,3,0,0,0,0,0,60.3,,,,0,0-0,0,0,0
190199,428698,Turbo Richard,boston-college-eagles,ACC,BOSTON COL,27,HB,2024,16,13,0,2,0,0,0,57.3,58.0,61.7,,3,0-0,0,0,0
143821,362217,Ty Clemons,boston-college-eagles,ACC,BOSTON COL,D90,DI,2024,2,0,0,0,0,1,0,60.0,,,,0,0-0,0,0,0
142508,362034,Victor Nelson,boston-college-eagles,ACC,BOSTON COL,D21,S,2024,13,0,9,4,0,0,0,88.5,,,,2,0-0,1,0,0
178094,424634,Zachary Kelly,boston-college-eagles,ACC,BOSTON COL,D48,CB,2024,5,0,3,2,0,0,0,69.3,,,,1,0-0,0,1,0
183260,429980,Aaron Hampton,california-golden-bears,ACC,CAL,D46,LB,2024,62,18,21,23,0,0,0,66.2,,,,4,0-0,1,0,0
122903,348477,Aidan Keanaaina,california-golden-bears,ACC,CAL,D47,DI,2024,150,0,0,5,57,16,66,66.9,,,,1,0-0,1,0,0
146294,383921,Bastian Swinney,california-golden-bears,ACC,CAL,76,G,2024,87,0,0,0,39,0,40,64.2,,,,0,0-0,0,0,0
176551,0,Belay Brummel,california-golden-bears,ACC,CAL,20,QB,2024,1,0,0,0,1,0,0,60.0,,,,0,0-0,0,0,0
126117,420376,Ben Marshall,california-golden-bears,ACC,CAL,89,TE,2024,199,60,70,28,39,0,0,61.6,,,,14,1-0,3,2,1
158392,412524,Braden Miller,california-golden-bears,ACC,CAL,77,G,2024,27,0,0,0,0,0,26,64.0,,,,0,0-0,0,0,0
86353,362119,Byron Cardwell,california-golden-bears,ACC,CAL,21,HB,2024,30,6,9,15,0,0,0,65.9,,,,0,0-0,0,0,0
176566,407867,Cade Uluave,california-golden-bears,ACC,CAL,D00,LB,2024,37,0,4,5,4,23,0,61.4,,,,0,0-0,0,0,0
158329,407863,Cam Sidney,california-golden-bears,ACC,CAL,D20,S,2024,98,0,13,21,36,24,0,66.5,,,,1,0-0,1,0,0
98683,330413,Chandler Rogers,california-golden-bears,ACC,CAL,07,QB,2024,1,0,0,0,0,0,0,,,,,0,0-0,0,0,0
54240,347859,Cheikhsaliou Fall,california-golden-bears,ACC,CAL,D17,ED,2024,38,0,20,6,0,11,0,66.6,,,,2,0-0,1,0,0
157703,398458,Cole Boscia,california-golden-bears,ACC,CAL,82,WR,2024,65,30,17,18,0,0,0,58.3,,,,6,0-0,1,0,0
131648,351675,Collin Gamble,california-golden-bears,ACC,CAL,D13,CB,2024,8,0,0,7,1,0,0,61.3,,,,0,0-0,0,0,0
129504,350431,Corey Dyches,california-golden-bears,ACC,CAL,10,TE,2024,13,0,11,0,0,0,0,51.8,,,,2,1-0,0,0,0
100612,328168,Craig Woodson,california-golden-bears,ACC,CAL,D02,S,2024,70,0,10,13,0,45,0,63.7,,,,1,0-0,0,0,0
158332,418237,Curlee Thomas IV,california-golden-bears,ACC,CAL,D51,DI,2024,3,0,1,2,0,0,0,60.5,,,,0,0-0,0,0,0
176549,407831,David Bird,california-golden-bears,ACC,CAL,S45,LS,2024,120,0,0,0,51,0,62,64.3,,,,13,1-0,1,0,0
90079,304658,David Reese,california-golden-bears,ACC,CAL,D07,ED,2024,36,0,0,9,0,25,0,60.8,,,,0,0-0,0,0,0
183256,448165,Dayday Aupiu,california-golden-bears,ACC,CAL,D11,CB,2024,2,0,2,0,0,0,0,60.0,,,,0,0-0,0,0,0
188176,444072,Derek Morris,california-golden-bears,ACC,CAL,S99,K,2024,30,0,0,0,0,0,28,60.9,,,64.7,16,1-0,0,0,0
146310,383922,Derek Wilkins,california-golden-bears,ACC,CAL,D96,DI,2024,11,0,0,1,0,9,0,91.8,,,,1,0-0,0,0,0
158323,407850,Fernando Mendoza,california-golden-bears,ACC,CAL,15,QB,2024,6,0,0,0,0,0,0,,,,,3,0-0,0,0,0
176569,445042,Frederick Williams III,california-golden-bears,ACC,CAL,54,T,2024,9,0,0,0,0,0,5,61.0,,,,0,0-0,0,0,0
146299,366903,Hunter Barth,california-golden-bears,ACC,CAL,D31,LB,2024,230,39,70,40,57,19,0,85.5,,,,13,0-0,5,1,2
183265,429997,Isaac Torres,california-golden-bears,ACC,CAL,26,WR,2024,112,51,10,51,0,0,0,67.0,,,,5,0-0,0,0,0
183258,429964,Isaiah Crosby,california-golden-bears,ACC,CAL,D23,S,2024,43,0,18,9,12,3,0,61.9,,65.2,,2,0-0,0,0,0
146347,387168,J.T. Byrne,california-golden-bears,ACC,CAL,88,TE,2024,74,8,1,0,0,0,62,64.2,,,,0,0-0,0,0,0
