Collective Funding,Total Support,Ticket Sales,Contributions,Conf,School
348600,"2,121,063","1,010,239","1,110,824",MAC,Buffalo
1471894,"3,321,120","682,078","2,639,042",MAC,Central Michigan
1471894,"3,952,951","771,271","3,181,680",MAC,Eastern Michigan
160201,"974,748","313,217","661,531",MAC,Kent State
1471894,"3,664,322","745,947","2,918,375",MAC,Miami
506195,"3,079,952","495,563","2,584,389",MAC,Northern Illinois
509427,"3,099,615","1,234,040","1,865,575",MAC,Ohio
928243,"5,647,912","1,933,429","3,714,483",MAC,Toledo
827015,"5,031,984","1,460,058","3,571,926",MAC,Western Michigan
229930,"1,399,013","774,837","624,176",CUSA,Florida International
623589,,,,CUSA,Jacksonville State
362703,"2,206,872","635,600",-,CUSA,Kennesaw State University
623589,,,,CUSA,Liberty
623589,,,,CUSA,Louisiana Tech
623589,,,,CUSA,Middle Tennessee State
680038,"4,137,703","1,465,012","2,672,691",CUSA,New Mexico State
238669,"1,452,185","307,512","1,144,673",CUSA,Sam Houston State
955659,"5,814,721","2,318,851","3,495,870",CUSA,UTEP
870548,"5,296,863","2,281,717","3,015,146",CUSA,Western Kentucky
10946275,-,-,-,ACC,Duke
10946275,-,-,-,ACC,Miami (FL)
10946275,-,-,-,ACC,Notre Dame
10946275,-,-,-,ACC,Boston College
10946275,-,-,-,ACC,Wake Forest
10946275,-,-,-,ACC,Syracuse
14642200,-,-,-,SEC,Vanderbilt
10946275,-,-,-,ACC,Stanford
11772392,-,-,-,Big Ten,USC
11772392,-,-,-,Big Ten,Northwestern
11377377,-,-,-,Big 12,Baylor
11377377,-,-,-,Big 12,BYU
11377377,-,-,-,Big 12,TCU
10946275,-,-,-,ACC,SMU
