Unnamed: 0,season,first_name,last_name,position,origin,origin21%,origin22%,origin23%,originNIL,destination,destination21%,destination22%,destination23%,destinationNIL,transfer_date,rating,stars,eligibility
38,2021.0,David,Vincent-Okoli,CB,West Virginia,46.0,42.0,69.0,5495362,none,,,,none,2021-06-28T13:07:00.000Z,,4.0,Immediate
39,2021.0,Kelvin,Stokes,EDGE,Purdue,69.0,56.99999999999999,33.0,5510579,none,,,,none,2021-06-28T12:43:00.000Z,,3.0,Immediate
40,2021.0,Hunter,Smith,LB,Louisiana Monroe,,33.0,17.0,0,none,,,,none,2021-06-28T08:21:00.000Z,,2.0,Immediate
41,2021.0,Chancellor,Hitchens,S,Louisiana Monroe,,33.0,17.0,0,none,,,,none,2021-06-28T08:20:00.000Z,,2.0,Immediate
42,2021.0,Damir,Faison,EDGE,East Carolina,57.99999999999999,62.0,17.0,2887971,Kent State,50.0,42.0,8.0,160201,2021-06-28T08:20:00.000Z,,3.0,Immediate
43,2021.0,Jalen,Hamler,QB,Cal Poly,,,,No Data,San Jose State,42.0,57.99999999999999,54.0,1001536,2021-06-28T00:00:00.000Z,,0.0,Immediate
44,2021.0,Greg,Emerson,DL,Tennessee,54.0,85.0,69.0,11602164,Memphis,50.0,54.0,77.0,2634877,2021-06-26T08:55:00.000Z,0.81,3.0,Immediate
45,2021.0,Jalen,Neal,CB,Boise State,57.99999999999999,71.0,56.99999999999999,2765657,Boise State,57.99999999999999,71.0,56.99999999999999,2765657,2021-06-25T19:03:00.000Z,,0.0,Immediate
46,2021.0,Kevric,Wiggins,CB,Louisiana Monroe,,33.0,17.0,0,Jackson State,,,,No Data,2021-06-25T16:19:00.000Z,,3.0,Immediate
47,2021.0,Demetri,Jordan,IOL,SMU,67.0,54.0,79.0,10946275,none,,,,none,2021-06-25T16:07:00.000Z,,3.0,Immediate
48,2021.0,Jeff,Miller,IOL,Georgia State,62.0,33.0,54.0,781177,none,,,,none,2021-06-24T16:02:00.000Z,,3.0,Immediate
49,2021.0,Brylan,Lanier,CB,Georgia State,62.0,33.0,54.0,781177,Alabama,87.0,85.0,86.0,15995406,2021-06-23T17:26:00.000Z,,3.0,Immediate
50,2021.0,David,Anderton,OT,South Florida,17.0,8.0,54.0,2235939,none,,,,none,2021-06-23T16:12:00.000Z,,3.0,Immediate
51,2021.0,Malachi,Wideman,WR,Tennessee,54.0,85.0,69.0,11602164,Jackson State,,,,No Data,2021-06-23T13:15:00.000Z,,4.0,TBD
52,2021.0,Ahmad,Johnson,LB,Louisiana,93.0,46.0,46.0,1284835,none,,,,none,2021-06-23T11:39:00.000Z,,3.0,Immediate
53,2021.0,Armonie,Brown,DL,UTEP,54.0,42.0,25.0,955659,none,,,,none,2021-06-23T09:56:00.000Z,,3.0,Immediate
54,2021.0,Jack,Luckhurst,K,Arizona State,62.0,25.0,25.0,5689877,none,,,,none,2021-06-23T09:53:00.000Z,,0.0,Immediate
55,2021.0,Brayden,Fox,WR,Rutgers,38.0,33.0,54.0,3624816,Toledo,54.0,64.0,79.0,928243,2021-06-22T16:10:00.000Z,,3.0,Immediate
56,2021.0,Blake,Kirshner,QB,UCLA,67.0,69.0,62.0,5919423,none,,,,none,2021-06-22T13:44:00.000Z,,2.0,Immediate
57,2021.0,Wilson,Frederic,DL,UMass,,,,No Data,none,,,,none,2021-06-21T09:00:00.000Z,,2.0,Immediate
58,2021.0,Denzel,Blackwell,CB,Boston College,50.0,25.0,54.0,10946275,none,,,,none,2021-06-21T08:58:00.000Z,,3.0,Immediate
59,2021.0,Keyon,Mozee,RB,Kansas State,62.0,71.0,69.0,7121436,Miami (OH),54.0,46.0,79.0,No Data,2021-06-17T16:51:00.000Z,,3.0,Immediate
60,2021.0,Luke,McAllister,QB,Colorado State,25.0,25.0,42.0,2586300,none,,,,none,2021-06-17T13:05:00.000Z,,3.0,Immediate
61,2021.0,Malik,Barrow,DL,Rutgers,38.0,33.0,54.0,3624816,Rutgers,38.0,33.0,54.0,3624816,2021-06-17T09:12:00.000Z,,4.0,Immediate
62,2021.0,Louis,Taylor,S,Liberty,62.0,62.0,93.0,623589,none,,,,none,2021-06-16T14:05:00.000Z,,2.0,Immediate
63,2021.0,Ryan,Kelley,QB,Arizona State,62.0,25.0,25.0,5689877,Eastern Washington,,,,No Data,2021-06-16T13:13:00.000Z,,3.0,Immediate
64,2021.0,CJ,Parks,WR,Eastern Michigan,54.0,69.0,46.0,1471894,none,,,,none,2021-06-16T00:00:00.000Z,,3.0,Immediate
65,2021.0,Mike,York,TE,UAB,69.0,54.0,33.0,1240957,none,,,,none,2021-06-16T00:00:00.000Z,,1.0,Immediate
66,2021.0,Nigel,Knott,CB,East Carolina,57.99999999999999,62.0,17.0,2887971,Ole Miss,77.0,62.0,85.0,No Data,2020-12-12T00:00:00.000Z,,4.0,TBD
